match_id,puuid,name,tag,team,region,map,patch,rounds_played,game_start,rank_tier,rank_patched,agent,player_level,score,kills,deaths,assists,damage_made,damage_received,headshot_rate,headshots,bodyshots,legshots,c_cast,q_cast,e_cast,x_cast,economy_spent_overall,economy_spent_avg,loadout_value_overall,loadout_value_avg,afk_rounds,rounds_in_spawn,ff_outgoing,ff_incoming,team_won
fcb55b5a-08e0-4379-bcc9-7a737936934a,bffef8bb-2e1c-5563-8cd2-0f7f770edffc,Rachel Vanessa,KR1,Blue,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,25,Immortal 2,Neon,418,4397,15,20,3,2939,3751,0.2955,13,27,4,6,15,26,1,55900,2150.0,90350,3475.0,0.0,0.0,0.0,0.0,True
fcb55b5a-08e0-4379-bcc9-7a737936934a,a091f113-3a49-5bda-a4ce-ac8b31fec282,Bst4r,XXY,Blue,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,24,Immortal 1,Clove,426,6613,23,22,13,4487,4272,0.3125,20,41,3,8,1,59,4,77400,2976.923,93950,3613.4614,0.0,0.0,0.0,0.0,True
fcb55b5a-08e0-4379-bcc9-7a737936934a,313b5353-db02-5fc7-b786-b338b8c9c464,신철환,곧 15살,Blue,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,24,Immortal 1,Tejo,448,3678,12,18,12,2566,3291,0.1579,9,42,6,17,22,48,2,65200,2507.6924,92000,3538.4614,0.0,0.0,0.0,0.0,True
fcb55b5a-08e0-4379-bcc9-7a737936934a,1398f582-237e-56d6-ae69-c04213bec7fd,승 민,민 승,Red,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,24,Immortal 1,Chamber,226,4684,17,21,1,3164,4104,0.2273,10,33,1,18,5,12,3,71050,2732.6924,99950,3844.2307,0.0,0.0,0.0,0.0,False
fcb55b5a-08e0-4379-bcc9-7a737936934a,dec540ac-4cf7-56b2-b60b-875214ceb1cc,불 끌까요 오빠,9999,Red,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,25,Immortal 2,Waylay,218,4867,17,20,9,3486,3776,0.2121,14,50,2,13,14,27,4,67600,2600.0,100950,3882.6924,0.0,0.0,0.0,0.0,False
fcb55b5a-08e0-4379-bcc9-7a737936934a,960e027e-a19f-5203-ac65-3ea02a974a66,같이있을래란말은거짓말이아니었어,111,Red,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,22,Ascendant 2,Miks,216,3771,10,23,27,2357,4489,0.1556,7,36,2,23,13,48,2,79750,3067.3076,100850,3878.8462,0.0,0.0,0.0,0.0,False
fcb55b5a-08e0-4379-bcc9-7a737936934a,b261dd72-e0c0-52a4-8341-efb6907c7bc7,약 먹을 시간이야 현진아,정병녀,Blue,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,24,Immortal 1,Reyna,30,7544,26,16,7,5258,3666,0.3971,27,40,1,13,5,13,4,67600,2600.0,103600,3984.6155,0.0,0.0,0.0,0.0,True
fcb55b5a-08e0-4379-bcc9-7a737936934a,f7e665c4-0ba6-572a-837b-ff8676ab0142,OverrewoP,KR2,Blue,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,23,Ascendant 3,Killjoy,248,8155,30,19,4,5658,3357,0.3293,27,54,1,33,20,7,4,71500,2750.0,83150,3198.077,0.0,0.0,0.0,0.0,True
fcb55b5a-08e0-4379-bcc9-7a737936934a,7b0eaccd-167e-5466-80e4-aa4ae08101eb,柳川壽鎬,0407,Red,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,26,Immortal 3,Neon,253,10344,35,19,8,6317,4109,0.1622,24,120,4,15,15,26,4,76250,2932.6924,93150,3582.6924,0.0,0.0,0.0,0.0,False
fcb55b5a-08e0-4379-bcc9-7a737936934a,3f52b513-5238-5509-83f0-708cef491759,Baby,time,Red,kr,Fracture,release-12.05-shipping-22-4360629,26,1774271258,24,Immortal 1,Iso,299,4268,16,23,0,2976,4393,0.381,16,24,2,6,7,21,5,77900,2996.1538,95400,3669.2307,0.0,0.0,0.0,0.0,False
