name,tag,region,rr,rank,puuid
snappyคาบบ,XGOD,ap,976,1,e6c54b3f-43de-509a-86c8-cd9d9cad4dec
T1 Satoru,DDONG,ap,928,2,f4bf27fb-6597-55db-a2ec-1ed39d3c137f
FranK,马年大吉,ap,906,3,ddf0996e-dc6b-5004-a9cf-b70071aba180
Horhe,27000,ap,888,4,ddfa2090-2995-5977-a4ca-fefb281edb9b
Road to 1000RR,WIN,ap,873,5,74b09014-fa71-56d5-8692-c74f42041b14
FPX 木昜,IQ300,ap,867,6,ddbe127c-4c9f-5349-a1eb-449d59ccc286
GEN ZynX,2007,ap,865,7,c71c7a31-fda7-5958-81ea-11d086aa5fa6
,,ap,862,8,
william birkin,abb,ap,859,9,e9931643-a455-5018-bdbc-d0f6c0e8270f
DK SmokeKing,asd,ap,853,10,1c0ea951-7887-59ab-9a8b-1e480ea1769b
glacier,Ayana,ap,829,11,1634a55b-8d42-5100-9159-9242ca38cf2d
potato pancake,123,ap,825,12,df58f27b-9d7a-5bd5-ad85-de6fda21fbd1
AQ Youjun,0000,ap,823,13,73aa99fb-21c8-575e-8b90-b71f2663ad4a
발로1일차,Day1,ap,822,14,ad30e461-e2a8-5bdc-b613-2d0570cf7787
coolkidgamer2013,final,ap,816,15,144c3358-bd59-5443-9892-34f79c14e163
em3rald,n1a14,ap,815,16,843c78cd-9510-5587-8c58-f68e22f7ac0e
Fr1ght215,est,ap,803,17,214510de-fd37-5e4a-af96-410b3327e93e
OAS whitecatw,1008,ap,800,18,92434354-e61c-5de9-9bcd-bac88dcf5500
OAS Zeus,ela,ap,792,19,112ef109-6b0d-52e1-b083-03eeeb7dc519
GenG Xiesta,0324,ap,790,20,8d421507-3511-5901-aa1e-af38b06bb0ba
Wlmouse beast x,usung,ap,784,21,5ce6e67a-98ab-5b73-b3cd-fa150d4689d1
GEN Ash,7777,ap,772,22,94c091f7-9b80-54a1-930c-85cd3604c837
Glimpse of us,Fake,ap,771,23,f0c38d4e-f0af-5620-856d-cd894aa47e89
annyeon,123,ap,768,24,fc887e6e-a5f1-507c-99d8-8527e0274b6b
grumble,1111,ap,767,25,13727f06-0106-5460-9791-2661dc61ac8c
GGA RgoN,zan,ap,764,26,427ad736-d933-5951-af1d-54280cd62e74
GE Kr1stal,5252,ap,758,27,93a4bd9b-4a7e-5eae-a018-8b73574c7eb3
KHReign,念念神,ap,757,28,a2b373a4-0070-5b8a-af6f-a0653de63f7f
,,ap,754,29,
1000점가자미,Hyun,ap,750,30,832158a4-7991-5828-b8ad-1517719005da
