name,tag,region,rr,rank,puuid
twitch haeyoday,hyd,na,837,1,3e70ac37-994b-5b2a-91cf-3ee8695b87f3
SR exa,VIC,na,834,2,8136bfd3-f949-58dc-abec-96761066b150
ttv picklespear,dan,na,815,3,6d8d2524-b5a8-51b7-9969-6b360b7067d6
SEN nightz,aim,na,752,4,3fac8da3-1ca7-5abe-be63-10eb0e985a3b
Rei Hino,lft,na,750,5,a260f204-a5dd-5f0a-95f8-174cc713613c
Twitch Smoke,Kaleb,na,731,6,2b8d6f59-059b-59f8-826b-e5fc1f13a73d
,,na,727,7,
neT,jess,na,704,8,25a06846-198b-5d43-a6fa-90c004bd6762
Hide on Bush,VIC,na,691,9,ec7185b3-1e4b-5c61-ad68-139a0445e757
yomamagaming,1027,na,684,10,3f67862d-8698-5b5a-b208-8f1be0488338
simon,char,na,682,11,c900ee15-81f9-5a67-a3e1-4b4b8b0aa0a6
zanks,15yo,na,673,12,cfd60b33-b0eb-5a78-a091-ba47b98c2eed
BIG TONKA T,2006,na,668,13,b9f585ff-678e-5685-acac-772782801a30
biG ORaNgE,katie,na,659,14,dcf6cd04-d97d-5ec3-8baa-96f6902bc359
M80 Boni,angie,na,658,15,2a2b2fb8-513e-54aa-860b-0456ec4b4fee
Calamity,6737,na,652,16,23ec335b-5774-585f-8400-10982a838f23
Karma,bear,na,647,17,f522ef27-a70f-5f8b-a0fe-9bdbc04fdc10
Painter,muted,na,642,18,7ab4d8fb-2cb4-5505-8b01-b2494fefae9e
azrex,2697,na,641,19,390c2c97-84a4-5e85-bdf2-c618760302f8
kubes,pod,na,640,20,3bd37b79-d241-5e39-b938-8527301c8ba5
Bubs,key,na,636,21,a9a16efb-6a3c-53e6-8b32-6fce2e67ca61
etc,16yr,na,634,22,7a6906d2-2770-5b88-a4a9-2f391d4fb5b5
LYON Mephisto,69420,na,629,23,459b68c1-ef16-553f-b54d-37690cb6f1a4
jerrwin,ysl,na,621,24,00ff6bac-025f-5296-9a1f-3d7c18ee81ff
tas,num50,na,614,25,8f2f45bb-ec79-5d86-8633-ada678a37e92
eyan7,vaeh,na,607,26,28e808c5-dc3b-5280-9efa-079fa007eb84
M80 alvin,NO1,na,605,27,1d44e4fc-751f-57d0-89f6-2d3f026f67df
EG stunna,2006,na,604,28,b26c6c73-ce01-593f-8b20-57cce0642971
EG zerona,harpr,na,604,29,bd85bce2-88e1-5ef6-bad9-4a562eb7e7cd
yoyomita,1111,na,597,30,bc8ee0cc-023d-5c80-b314-b6794dbec5e6
Duck,MST,na,596,31,9aa420bc-0e63-5eb7-9c9b-a609268d3fee
PowerPixele,Autum,na,591,32,15c7bb3c-b67a-5548-ae28-dd3d91c4a03b
nice kid melvin,happy,na,588,33,23897d3f-9b7f-5e2f-974d-d6e0144367db
awkua,777,na,587,34,7f0b5a01-34be-587a-8397-b302a2a2e49a
azrex,2679,na,586,35,15e1c739-1cf9-5afb-be37-36214ea9d396
tree,ttt,na,585,36,9b77e5c8-1299-5eb4-b2d1-a3bbdfb9bd61
Legend,watt,na,582,37,870c7c63-096a-5d20-8416-5d751524323d
shawz,000,na,582,38,9574f4af-e6db-5695-a2a2-464c4041c334
reduxxqt,777,na,580,39,577adbec-b4db-5f2c-b2fc-6613c6e3d882
Spec,ily,na,579,40,8ed84d17-48ee-58c6-b61b-206985c5a8c5
ЪäńκЯΘƒτ,ROFL,na,573,41,6cef16c1-20e2-58af-8437-3ddc7316a1d6
artifact,2008,na,572,42,be50257c-afc7-5c9c-8b08-937a5c81ea7e
yumyumsauce,cream,na,570,43,00ecb675-2aee-5ffe-8b32-416c6da149ad
EG jakee,thief,na,567,44,67ededf7-cd6f-574a-b619-5f0b66359a35
endless,lll,na,565,45,22305120-82a8-52ba-9b9e-69c3258e41ea
azryl,2679,na,564,46,8887c2ba-5d2b-5eb2-b71a-2ea66a1f6c53
NRG Ange,erin,na,563,47,9b2f2a98-94c9-516b-83f5-fa6c18390900
spycue,yyy,na,563,48,a8b4af77-cc76-57d0-9029-1032c00acfd2
crazy,2044,na,559,49,f52e15bc-c2cc-5d74-8614-0ff7f7f7a5af
dre,pivo,na,559,50,a24a00cd-327b-59d9-a190-674ec6f61f77
MIBR zekken,1515,na,550,51,57bf3aff-d0e2-5ef3-a446-1fcfe199853d
note,smoil,na,550,52,2d0b9f34-4dd7-56ff-876b-85dab9f6d558
Instxnct,myah,na,549,53,3f8aef2c-714b-52b1-b039-e026e0f1b8fe
Weegle,555,na,549,54,b517b2de-4b0a-586f-89fe-df86dab2fb83
HURRICANE SAUCY,lilou,na,546,55,ab5036cc-3f72-5b7c-a61e-13396b94abac
sorex,god,na,546,56,7abed229-2a13-56e9-bb61-d855cb67ff5a
woddy,msz,na,545,57,7b525708-2893-56f8-9ca2-1449589fe284
klamran,4566,na,544,58,e987f63d-3b39-5878-9627-ceb9bb2e6c6a
Dasnerth,KING,na,543,59,d459ea60-6fc1-5505-ab6b-173217f922f1
kuroza,fps,na,542,60,3d7a1ab2-2f89-5145-9723-fe6717a2dd41
Andersin,1255,na,541,61,2c9b4c02-916d-50fe-98b3-c6794346e75e
max,vli,na,539,62,870809da-4da0-5cdd-9e38-9e9d4bb6c5b1
Colt,GGTTV,na,538,63,555c4b2a-8fb4-501e-be5e-0853a23fe0eb
icy,madi,na,537,64,f2d4da4c-1e57-582b-8a94-5d48a8086488
67 monster,267,na,534,65,f6715658-4825-532f-869b-64428b20c8fa
fuzzy,by9,na,533,66,339625b3-38e3-56ff-8aca-ed1edc9c6365
Dillon,Wshed,na,531,67,f5e843ff-9e04-5987-b8ef-2f8bc14332b4
bdog,2916,na,531,68,96a40e7c-975b-5d35-b60e-ff046061301e
twitch khs ˇˉˇ,yuni,na,529,69,3b85e687-df47-5bed-8f93-4feebf16a509
Sosuke Aizen,Rossy,na,528,70,e6d93620-14a8-5983-86c4-93ceb5d1452c
noor,xyz,na,527,71,9041f312-6e16-5f31-b676-7fa08afe466c
The Dream,00000,na,527,72,8ce5f194-99c9-5bbd-bdca-c5123d38c205
SR NaturE,RAT,na,526,73,bb17d870-62d9-5411-963c-90129358178c
Lethal,Ethan,na,525,74,629ffc14-2420-5174-8163-127caeb2bc26
neymar jr,clthz,na,525,75,a779e420-7d0b-5859-b008-a0ff0c802be9
SEN johnqt,21MA,na,524,76,43c9ac3f-1e8f-5a48-89cc-c4a8f4b2280d
sheep,wow,na,524,77,b18e6e0f-c763-5f93-a263-ea44b52b1745
WU stg,stg62,na,523,78,1fa7b075-a5c7-5a63-8c6e-e342632f0950
,,na,519,79,
PaMstou,Kunai,na,517,80,f88dfe8a-e30f-5c79-810d-788c142a4a40
cwistopher,madi,na,517,81,151dfda9-1bc7-5364-8fd4-02fdff881c90
huphh,FCity,na,514,82,b28e0a53-2994-5c8d-9b69-3acbdd2e37ba
freg,ley,na,512,83,b656d512-f603-5345-9f8e-249d3482bd6f
heartless,css,na,512,84,90bc8233-6f5a-5375-b279-a59abcc99216
twitch uxie,rawr,na,510,85,508654eb-9c3e-5655-8584-35ce28aea142
dusk,815,na,509,86,26a61f13-3e81-5f04-bc0e-38f11cfdd041
enzo,yyy,na,509,87,0ebea47b-f9e4-5f09-9068-0174f69e13e7
solada,704,na,507,88,7de33f03-cd78-5d06-a26f-881cf3792455
WU Fair,1tap,na,507,89,131323e4-2403-5394-8ea5-d83f954806c6
C9 Xeppaa,XITER,na,504,90,c640b75c-fb8a-52b0-b02d-2675c66977cc
symstar666,koda,na,504,91,d073cffa-0ab7-5fc1-8818-13dabada57d0
PA1NT,Peako,na,503,92,81654a86-179a-58f5-b8c7-edc735b7baa2
U,JP1,na,503,93,76f3d739-d2c1-5fbe-8a07-726af16c280b
WU infiltrator,kay,na,500,94,3b5eeecf-a41c-5717-9ced-359299c00863
Shanks,NGOO,na,500,95,6e5c956a-2d54-51be-9992-50719b1db1e1
混乱的,556,na,498,96,1c88ea4f-9296-58b5-991a-4c54cb3b31aa
NRG shondex,snx,na,497,97,64081873-bf58-5dcc-9b56-441957d56072
ttv regannator,123,na,497,98,06664a48-2e8f-5337-9dd6-a47c882704da
NRG s0m,ktwon,na,496,99,d1f0ff26-4670-5a4e-8302-29325aadbfb0
golden,iwnl,na,495,100,f4a53ef9-62a1-5802-866d-f34cb404419c
XMJ,yours,na,495,101,45068383-df20-5d90-8d20-c3e2dcdf5137
vuse,sss,na,495,102,40b78122-f0da-5ad1-8f50-a80f5ddbbc61
fable,414,na,493,103,63b807bd-5806-58cc-aaf3-51b67271e2f0
antmo,noura,na,492,104,c7de6c9f-7929-5c7a-a4af-e66b079b90c8
ana,floop,na,492,105,1b0c6d1c-2389-5ac7-9f79-5e0cb58cbd33
上升宮 房子,awp,na,492,106,b77b9902-565d-5290-b15f-a5b7f84dd9da
race my mind,xyz,na,491,107,bb521fbf-24b2-5415-9d69-d8c803f82eb9
t ˇ,tiny,na,491,108,c0e4a41a-1ea1-51d5-af25-9248b83c0e72
Izo,lol,na,491,109,808f46fc-c57a-5d2c-a999-758fd3e324a0
开心消消乐,UwU,na,490,110,83b5994a-49a0-5835-aa63-9b1f9c9ea002
POPSMOKE,014,na,490,111,cf2f2433-ac27-57f5-95a0-71d837233125
twitch zeeraval,BRON,na,489,112,c831d5ef-c155-525a-8526-0661c4c99f99
BOPHADEEZ,1738,na,489,113,4b069180-f2c1-5025-b5fb-db0f85e58481
