name,tag,region,rr,rank,puuid
ぴっちょ,0347,ap,264,1838,4997f419-c2db-52bd-9759-8d37043735f3
BARO SHOEI,브로스키,ap,231,2269,1f59f0f7-5b0b-549b-b9ff-9f20a55c67f0
FUR SWIFTLOVER,eeiu,ap,165,3611,9bd2b8c5-4899-5202-9189-2887bcabd33d
GS9,wink,ap,548,267,44dbf86e-0f26-5f29-84bd-edb5e915a3dc
APACs DEMON1,3650,ap,124,4937,23f7d813-0a2a-57af-876c-c7e6662fb6ab
ooo,5468,ap,135,4520,794056b7-61e0-5c8b-95a4-f2f3f21d2d50
无脑开枪,小狗小狗,ap,199,2929,6023f144-6c63-54a9-82d4-b52624c70d85
OG 16Chops,2005,ap,543,279,37473639-44a1-554d-89c7-524abd3cf033
Merlindz,mers,ap,317,1340,00c644c4-2a93-5dd8-9607-9235d28a5c85
つかさくん,放課後少年,ap,259,1896,71393291-c8cc-51a5-8b0a-19b42cfade0a
Little Giant,kauãz,ap,307,1434,77f1b2b9-597b-5b98-90e8-b71260cea8fb
Mohamed Light,母親管理,ap,141,4287,275f014e-929f-5504-b6e7-428f7fb47c02
HOME,HAMAC,ap,177,3313,336ddee6-b25d-564e-abac-f7c81d83e115
squirtl,111,ap,204,2797,a52f92be-358e-5bf4-a9ee-5dae44a11d79
pororo,peng,ap,174,3388,48690764-022f-5445-9165-2bfaad463f23
Rice Shower,Elna,ap,204,2800,22bcd930-040f-5c30-91b9-16f69ed68db2
nanashi,0430,ap,170,3474,07b75077-332a-5481-a250-5d3e3fdf8b5b
抖音Ruthlessness,1012,ap,741,36,6199bbeb-5da4-5b20-b7c6-61dbd72c77a2
Undertaker,LilaS,ap,134,4531,210b5cc3-ed26-563a-a7d3-1c3c968caaa2
kaipedtom,1650,ap,143,4224,148aa22a-b13c-559c-aed5-223f1498c96e
nausu,963,ap,138,4420,c2bfb697-4da8-5e12-a13b-e6e7c893f797
Kahlúa,OPALL,ap,110,5635,14616a4c-8fdc-5d37-819e-add736ba8f81
INS MeatPieN,ZZZ,ap,499,439,2ea75f8b-8a0e-537d-9eb0-c57dabe834ce
VARREL Klaus,1337,ap,577,204,ae8ed9d4-19cb-53bd-aab4-f4a5ece7447c
