name,tag,region,rr,rank,puuid
,,eu,952,1,
TH Wo0t,Limon,eu,949,2,b48f11cc-6264-5ac1-bc59-70f46620f7a5
SGE Jamelinho,213,eu,928,3,ef505d70-cd68-5dd5-9adb-6aa6068397ad
MercureFPS,GRIND,eu,878,4,7ecd6566-cc89-5f06-856e-0f59ccf682d2
,,eu,871,5,
MDR nataNk,1wnl,eu,858,6,8fbbea9d-1366-5eab-be2e-765355452d56
izana,686,eu,856,7,b800c119-8ab3-5113-97cd-d2a636e93f6e
deko666,masia,eu,853,8,8f34cdaa-615d-56a4-9e1b-759eaa200e7d
eternal sunshine,aimer,eu,847,9,22ffb68f-c7ab-5de2-a958-5d57426feddd
EP kozzy,1of1,eu,830,10,087373dc-6f8b-59dc-8068-17bbf0565d1e
SK Tino,zZzZ,eu,824,11,a755df42-085a-5b3f-a8b9-031443deb74e
6GPA koshmaras,006,eu,822,12,760a3a64-d1a3-5c5a-914d-697e496fd0b8
GMX Frac,nina,eu,815,13,02aa4700-1393-5371-a68a-7530282c2412
Robocop,CHN,eu,815,14,41d4a6c5-11d7-512e-8b90-7631682f5bd4
MISA BadreX,finoo,eu,810,15,088d6d26-e52e-5649-b462-42ca736d5cf3
narky poo,000,eu,805,16,181b29f3-5e8b-5903-9e21-605505030a8b
hiro,luna,eu,801,17,fa9c52b9-ebe6-5ea8-93c0-efbdee85c6b7
kAiRyy,TTV,eu,797,18,dc93ce71-4ab9-55b7-8123-854d541ec997
,,eu,790,19,
JL runneR,003,eu,788,20,e6f502d1-c3a6-509d-af5d-fe358c66fc37
sorcery,god,eu,787,21,282d5a67-fbbf-577d-9b0e-25d6e1a03d4d
striker,boop,eu,783,22,1d812f3a-6f78-55e7-be20-29d08a24a3f1
GL hAwksinho,masia,eu,782,23,da60be53-3aa3-50c7-8bd8-fd44a9ba6e75
Liquid WanZeru,011,eu,780,24,d59e472c-49b6-5ad6-b5b4-b24f0f6e6fd5
verity,mary,eu,778,25,38a7da52-09e0-5c0e-a9bb-f231dcc297c1
kc bigking07,mamba,eu,773,26,1e4b67f2-08a5-5298-87a4-4c4f9724aaba
COLORS Neptunee,icy,eu,771,27,b15eb437-3676-52a1-90fc-1f0ae353111e
Vir9ine,тгк,eu,769,28,639fe4af-b7a5-5ec8-a90b-8d472fae69c1
GX westside,uwu,eu,768,29,f79a2ba9-77dd-5137-9bb4-513a48d88c9b
derr,GOD,eu,768,30,62c33505-2602-5c6c-a8f9-89c43bace93f
Ş4B4BL1,Ayşiş,eu,763,31,896793a8-2c48-551d-bbfd-b7c64239ed91
Cullum2x,thiel,eu,759,32,f9df9a67-79c4-5077-b769-2cea3ee9c4f6
scelzer,999,eu,756,33,77445fc8-e4bb-5f17-ab63-8a42285c3e63
yetu,star,eu,749,34,14c0198e-ebf1-54e6-ab4c-cfd1f0e0cbfb
BoBerツ,Kurw4,eu,745,35,9dc8e471-0704-5edd-8d82-ef041508eb2d
loll9,lungo,eu,743,36,46d0d948-3ed5-58f1-80ac-8b5935807cd3
S2G Kachoww,poo,eu,742,37,644bd383-520b-517b-8d36-83366792c7f9
Nrk,sun,eu,740,38,04bb9a05-e466-5cf3-bddb-6bc0c50ae15e
reszz,AURA,eu,740,39,bcdacf3a-f95d-5eb3-ba00-e669b9810236
sultan,077,eu,737,40,bd477b16-6a5c-580d-a0a2-8ede0e0aabe8
6GPA Razziss,starr,eu,737,41,ca611128-b4d6-59f3-ad43-6e141448b305
