name,tag,region,rr,rank,puuid
Bst4r,XXY,kr,310,38,a091f113-3a49-5bda-a4ce-ac8b31fec282
ego,이우진,kr,281,58,87c70489-4d3b-58be-95ad-47a3d21ea3ff
JIN,208,kr,271,65,d9de6b0e-da9f-5dc8-a289-aaead5db10f1
김또깡,0805,kr,269,70,70a877a0-c98d-5528-80bf-c466d3280ba5
이러면 어쩔건데,저쩔해야지,kr,259,85,515f3b97-57cb-5ef2-a5d5-73814bd48dc6
숑디따거숑디따거숑디따거숑디따거,숑디따거,kr,255,88,06002f63-7e9f-5014-87bc-755ae38c600b
武 神,月齡월령,kr,237,121,b4160e18-aa9a-57f4-b8ce-0109eeb13100
ToRy,proz,kr,234,126,9255f14e-cdb4-5196-b21e-a8f4a07ea4f7
CalmAim,Zen,kr,228,141,8efedb08-6566-5d3e-826b-24fcbe141330
メロ焼き,Mero,kr,214,175,bd05dfad-f2ea-5777-817b-2642a88abe92
디케이 슈,디플러스갹,kr,207,211,e3576734-9e9b-529f-8d8a-aa239e694c30
바닥에떨어진마스터이띵지털,꼬불꼬불,kr,201,244,97aa2a3e-f16b-5784-8f72-d214e3c725d0
김이빈,이종빈,kr,200,256,ed639663-45d8-5299-b748-624c15ec4b03
노태희 각하,독재자,kr,193,265,394c9982-44dc-5dea-b19d-06d1ca3f3172
발로처음이라못해요,진짜임,kr,185,281,82174f77-ca95-5608-aa94-d1776494fc5d
zexkixn,8638,kr,184,286,e98cf096-bd34-5c91-8803-c92ad8dac613
바 부,맞던데,kr,180,294,f2d155f0-3cb1-52d3-8194-2063794108c0
다 드루와,한 명 씩,kr,174,308,65d117b0-ccb0-5165-8194-1f9ec4740c43
나의 아기고양이,야옹야옹,kr,166,331,710cf4ef-dd53-5356-98e4-cbda1c5b1c00
바쿠고 카츠키,캇짱00,kr,164,337,cd9fbcee-c839-5cf9-b681-408557fe2deb
찬란한 계절,폴 킴,kr,163,338,828e6da1-43e0-5d0e-8863-2797a0da0d55
720,イゴン,kr,162,342,203e171e-8628-5c37-8f6b-1bf8edafceac
지용맘,9999,kr,155,372,4c4f650c-94d0-505e-8347-31816e4d16f8
GEN moves,2155,kr,155,376,1522d78b-a3a8-58a7-8dcd-6805e9c8eb0d
호올스,1004,kr,153,386,14024cfe-9951-5ee8-aec3-65c3623895e2
이민준내계정으로적당히욕해제발,1111,kr,148,402,ca80619e-2f0d-5a43-8e72-bd0e50391cfb
백지헌 사랑해,03417,kr,136,437,8c0b5749-511b-5d86-bce7-c992352e7a0b
FFallen,99999,kr,133,454,bf186f4e-f04f-54db-a37d-994e8e68aaea
FS Primmie,53406,kr,132,463,f9a326a2-66b7-5900-8d1f-1ac2eb01aebf
페미니스트 이재민,3202,kr,126,490,5d92e5c9-87b2-5a34-a8b6-17ddff7d7f58
감기걸린우유,꿈찍사봉,kr,121,514,65643a68-af55-54fb-aa8b-db62274a5c4e
한국최강미소녀,오프라인,kr,117,539,077ac00a-9aff-5ca2-bb25-d4bc94216339
Eagleman,kj2lv,kr,117,548,b0c9a947-6c85-5753-aa44-12c6b920dbea
늙음을장비빨로극복하기,OwO,kr,113,566,d24fcf0b-c610-58ff-bf63-c6b865fe2401
이거보면허리펴요,crack,kr,112,571,874ca661-c748-5f36-a200-d977991c25f3
희 동,0720,kr,112,573,b7160ef6-47c6-517a-9e17-d30c5dba9edd
패왕색,777,kr,112,579,ce7bde40-d03a-52af-87ac-43037afa78eb
S T A R,06년생,kr,111,587,06999f18-8b15-5ead-abde-9ac89def812a
연세대 시스템반도체공학과,27학번,kr,111,588,05ed0c2f-902d-53eb-b178-00639a9db0df
짐승현,1111,kr,111,590,7ce9e2c5-2bdd-511e-acd6-a4b110fa23b1
17Kz,텐즈호날두,kr,110,593,816ab545-3e6e-5d74-a5f8-e6620c05ef6e
나는야 우주최강 짱짱맨,ralcx,kr,110,596,d6dab6d0-8845-508d-ab0f-20bc2ef88fef
레오나르도 빚갚으리오,왕자등장,kr,107,609,0682a8ae-cd48-546a-b7bf-d95d69de13fa
남혐제조기,김지윤,kr,104,647,e82c8f16-7efc-51d3-8afe-704db595e342
Lunami yachiyo,카구야공주,kr,103,651,02f1d465-227d-570e-b176-a1d96373458b
우치하마다라,인정한다,kr,101,681,6e2714a5-d25a-5de8-802b-ea8568cb8090
GR Veigar,GRWIN,kr,101,682,46e6357a-be04-5f82-acfb-ed3c7fcd4b89
랭 깅,KR1,kr,100,690,b7180a92-cf0a-5f9a-8412-71b4bb3c6a4a
오렌지를먹으면너한테오렌지,오랑게,kr,99,707,3f957d1c-8a77-559b-bd8c-03358a8b7cd5
장만월,111,kr,98,709,820bd08a-8173-5b72-988f-87df0df3a253
Akari,4376,kr,98,712,82eceec5-0c60-515c-99fd-9e1d537f7ae6
박한솔사랑해,0118,kr,96,732,bb454603-1426-51ae-9fd5-2bcf035d3b98
너임마청년,맛있더라,kr,96,736,fef54a2d-07d0-59b3-bf05-a90f27c8ada1
そよん,1120,kr,95,742,e4c46c7e-9313-5bb6-a15a-776312c3a7ed
우진핑,호호호,kr,91,778,660060a7-c290-5c27-b5da-620c0cbd8c6c
13년생 기여미,원당중,kr,91,779,a62a2ce9-1653-5c8a-a0df-8b9924572a56
이병 성윤모,앙녕항셍용,kr,90,787,73278aec-ea9c-5391-8f58-9fddfc5f6ec3
DRX S3OK,111,kr,89,796,c5ee614c-6ee4-5147-80d1-d762e7b15b87
offon,033,kr,88,799,13a25d81-2566-59d6-b001-0b25fef71ee3
율냥이,1211,kr,88,806,eb8f4fab-cb56-540c-9557-0f09fda9706e
Roy,권세원이다,kr,86,821,514681a5-3c7b-570b-85ab-9b5136612471
rowhwqkqtorlemf,1337,kr,85,826,25fc9b9d-e32d-53eb-bf90-498c428a1e7b
초가구야 공주이로하가구야야치요,사랑해,kr,84,838,44eacdfa-aef7-5c90-b017-bdd6390c1f99
炎柱 렌고쿠 쿄쥬로,1009,kr,83,844,d2f9dea4-30a0-5f6d-b2af-52d48a93ca97
약간맛가버린브리치,간다탕탕탕,kr,81,855,37b2e3bd-4fdb-5c72-82d1-6e6b5bc03833
復歸人,8282,kr,81,858,a8126091-f808-53d5-9055-5679b2315733
크앙무섭찌,흐앙살려줘,kr,81,860,20f0f349-6b61-5c7b-b188-10fd04335b1c
صمت,1120,kr,78,884,52e840cf-f776-5265-ad52-6cc2ffa65be3
Takoyaki,타코야끼,kr,75,921,c573db96-60e8-56cb-86f9-b561bb8bfbb0
花が咲く時を待ちながら,tnp,kr,72,952,acdd0085-ee6d-5fe0-bffd-b7d0d709dbc3
내 전용,민 지,kr,70,963,aed4c90c-880e-5b94-8fb4-74783f1e8411
Killua Zaoldyeck,이x서,kr,69,974,055d5f08-5b2a-577c-a6d8-282179d44099
호준이1,0929,kr,68,998,33e25bbd-b256-592a-8333-69ae6b21dd69
hyung jun,김형준,kr,68,1000,5217186b-2148-520a-9cdc-d9ebf2c2d6cc
미야기 료타,731,kr,65,1029,29f178f9-77b1-5c55-b600-c78f28b58f1a
도 은,1027,kr,65,1037,647ab108-fec9-5665-af83-83ab4980d9f8
xsxsxs,xsxsx,kr,63,1066,7909c625-aecd-5f0c-84ef-7a531824ebd2
運氣造息,7862,kr,63,1067,9603fcbe-43ff-5ccc-96e0-c0e1432c8b70
아침은 싫고 밤은 너무나 길어,111,kr,62,1068,175c11fa-6be0-5c5d-a9ef-df14780f8fda
Max Verstappen,박 살,kr,61,1097,5804a8a1-4b8b-5ed9-9689-4124bcf135fa
인스타 준발이,777,kr,60,1103,efde38cc-c495-5bbd-b413-192d38b6bbbb
강준모 키우기,1111,kr,57,1168,466b278f-c1b4-5600-adda-70e9719c9f3e
이세연 사랑해,no1,kr,53,1220,f91b49d1-9600-5fe3-9125-b2beb60528ee
hyx,0 3,kr,52,1225,c94f19b1-655a-53cb-a725-7d29299adb18
Spade,cheat,kr,52,1226,8222a7d9-2a96-569f-8cf7-9db87e0f8884
레디언트갈때까지닉안바꿈,레디갈거임,kr,52,1227,7e5ff4c7-0416-5000-a340-eaa332b3fa8a
송히전용노예,주인님좋아,kr,52,1238,a44c2f2f-b62a-519d-ab81-a4c870b9fe33
Nakano Nino,2011,kr,52,1239,ba6142a9-ec5c-52ae-adda-1bcdbb5847a9
성수폭격기,1622,kr,51,1247,929cd406-0ea8-5b7e-a351-8a533bb84a4b
Vortex,BNT0,kr,50,1266,0e8273fe-1358-593e-b37a-af4a9556a3cf
이 찬 민,storm,kr,49,1280,1b3c244f-55e9-56f3-a135-462b7a239511
Lynx,ac1,kr,48,1290,8b430431-c06f-5126-8a4d-bb239678eaed
난겨울이젤좋아,0426,kr,47,1304,2b825967-4b6e-57b2-b63b-125d3adaf882
夏 音,yuuri,kr,46,1331,3c9c34ce-e81a-5e97-a3ea-82be1bcf504f
bangerfour,뱅어포,kr,45,1344,c22ad298-0646-5994-a9da-ec7cd5172f10
Óðinn,阿瑞斯,kr,44,1362,b5df0cee-d83c-5539-a07c-7a615d976d36
밍베짱,つ0ε0つ,kr,44,1369,35264637-736b-546c-a0a2-ccfb39120c31
네온장인에게꿀팁전수받기,000,kr,43,1387,9197102d-14fb-5acc-9066-f88acee9553b
나태의 왕 벨페고르,7대 악,kr,42,1415,e33a8717-7cab-53e0-88da-831434e9f888
쩡 욱,0025,kr,41,1430,2813e820-ed98-5982-8b50-7e0f190921c5
연산중레디언트지망생권유찬,니얼굴,kr,40,1449,ab3b36ec-54b0-5e7a-9a3a-f8f8bcda1c6c
내 잠든 그대를 기릴 테니,편히쉬시게,kr,39,1464,52d0a95f-0348-5400-8102-4773574463a3
홍기서,서울대머리,kr,39,1472,43c3cc22-22f4-530d-a97b-890795a143c3
朴贤俊,11111,kr,39,1473,b54342dd-7848-5416-8248-3438264ddd7b
신사에갔더니여우가컴퓨터를하잖아,라이트노벨,kr,38,1481,a38a7570-3a79-5dbb-bf7d-511bc332e7e3
