name,tag,region,rr,rank,puuid
StreN,1111,kr,476,3,b2f590ab-9075-5ad3-aeec-07085aab1083
High sens is OP,00000,kr,474,4,22ba8ce6-d128-5399-a3d4-954811a05ab2
우 유,한국인,kr,410,7,8e5e5ad9-b746-5c4f-9ad3-629a59d4af10
마토이 류코,纏 流子,kr,406,8,2dd9302b-62f1-5270-adaf-4b5b40db2472
MIBR zekken,다운증후군,kr,402,9,0fe2a10b-2e61-5c29-b17d-a362c3cd5149
닉네임닉네임닉네임닉네임닉네임닉,name,kr,398,10,4fddd0bb-65de-5df2-b7d4-a36984610625
너라고다를까,KR1,kr,397,11,93ac50db-968a-5db9-be96-085a6a64d2a5
notcuteanymore,Exx,kr,393,12,b8b4fd72-02b5-5fe2-a815-f89b1d0ba5eb
고양이상을위한레디언트계정,고양이,kr,391,13,198e2bd3-156a-55c2-94a8-ea72be7a461f
하 루,0203,kr,385,14,71d8c7a3-5615-5229-b00a-ad461e5f1f21
가나디,0709,kr,378,15,c7c69822-47e9-5611-9a2d-964f4242bf1c
FS PRIMMIE,NEON,kr,374,17,e71a7925-6ccd-5b59-be7c-9df1469386a4
DalmaXIan,연애하고싶,kr,371,18,68dbb25c-f70b-5c73-ad8b-21421eb1c3b7
초코마이쪄,1224,kr,367,20,22958695-b6f0-5b3e-9f54-13ccd72d4e59
효정이가인정하는재민재민재민,우주조종사,kr,356,21,cb9a2df0-fdeb-5926-83d9-7bd052c29cde
Maybe,goat,kr,354,23,96db4fa7-454a-5fb7-99a0-2d6581d0699b
이현우,2181,kr,350,24,1007a28e-47e8-589d-bcb3-10e30cc06ae7
Shirayuki Hina,honey,kr,343,25,eeec360a-7036-5e83-b79c-8e2ba3f7fdf0
Akane Lize,Unive,kr,339,26,3500233c-d1ca-59aa-b861-1421909f061c
Noir,Vexx,kr,336,27,c6e43030-e681-527f-9d6a-f0c99ce41f3b
너라고다를까,신예찬바보,kr,336,28,9994b448-7cb6-5e73-8c74-31d15354724e
